"Buyer1","email@email.com","password","b","Buyer2,Seller1"
"Buyer2","email2@email.com","password2","b",""
"Seller1","email3@email.com","password3","s","Buyer1","Store1,Store2"
"Seller2","email5@email.com","password5","s","",""
"Buyer3","email4@email.com","password4","b",""
"pj","pj@gmail.com","fire","b",""
"jlen","jlen@gmail.com","water","b",""
"mann"," mann@gmail.com","1234","b",""
"mann","mann@gmail.com","1234","b",""
"Mann","mann@gmail.com","1234","b",""
"Den","den@gmail.com","tree32","b",""
"Pow","pow@gmail.com","apple54","s","",""
